% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.159	1	1	16	10	2	28	1095	0
0.16	1	2	17	1	1	28	1095	0
0.16	1	1	17	1	2	28	1095	0
0.161	1	2	17	2	1	28	1095	0
0.161	1	1	17	2	2	28	1095	0
0.162	1	2	17	3	1	28	1095	0
0.162	1	1	17	3	2	28	1095	0
0.163	1	2	17	4	1	28	1095	0
0.163	1	1	17	4	2	28	1095	0
0.164	1	2	17	5	1	28	1095	0
0.164	1	1	17	5	2	28	1095	0
0.165	1	2	17	6	1	28	1095	0
0.165	1	1	17	6	2	28	1095	0
0.166	1	2	17	7	1	28	1095	0
0.166	1	1	17	7	2	28	1095	0
0.167	1	2	17	8	1	28	1095	0
0.167	1	1	17	8	2	28	1095	0
0.168	1	2	17	9	1	28	1095	0
0.168	1	1	17	9	2	28	1095	0
0.169	1	2	17	10	1	28	1095	0
0.169	1	1	17	10	2	28	1095	0
0.17	1	2	18	1	1	28	1095	0
0.17	1	1	18	1	2	28	1095	0
0.171	1	2	18	2	1	28	1095	0
0.171	1	1	18	2	2	28	1095	0
0.172	1	2	18	3	1	28	1095	0
0.172	1	1	18	3	2	28	1095	0
0.173	1	2	18	4	1	28	1095	0
0.173	1	1	18	4	2	28	1095	0
0.174	1	2	18	5	1	28	1095	0
0.174	1	1	18	5	2	28	1095	0
0.175	1	2	18	6	1	28	1095	0
0.175	1	1	18	6	2	28	1095	0
0.176	1	2	18	7	1	28	1095	0
0.176	1	1	18	7	2	28	1095	0
0.177	1	2	18	8	1	28	1095	0
0.177	1	1	18	8	2	28	1095	0
0.178	1	2	18	9	1	28	1095	0
0.178	1	1	18	9	2	28	1095	0
0.179	1	2	18	10	1	28	1095	0
0.179	1	1	18	10	2	28	1095	0
0.18	1	2	19	1	1	28	1095	0
0.18	1	1	19	1	2	28	1095	0
0.181	1	2	19	2	1	28	1095	0
0.181	1	1	19	2	2	28	1095	0
0.182	1	2	19	3	1	28	1095	0
0.182	1	1	19	3	2	28	1095	0
0.183	1	2	19	4	1	28	1095	0
0.183	1	1	19	4	2	28	1095	0
0.184	1	2	19	5	1	28	1095	0
0.184	1	1	19	5	2	28	1095	0
0.185	1	2	19	6	1	28	1095	0
0.185	1	1	19	6	2	28	1095	0
0.186	1	2	19	7	1	28	1095	0
0.186	1	1	19	7	2	28	1095	0
0.187	1	2	19	8	1	28	1095	0
0.187	1	1	19	8	2	28	1095	0
0.188	1	2	19	9	1	28	1095	0
0.188	1	1	19	9	2	28	1095	0
0.189	1	2	19	10	1	28	1095	0
0.189	1	1	19	10	2	28	1095	0
0.19	1	2	20	1	1	28	1095	0
0.19	1	1	20	1	2	28	1095	0
0.191	1	2	20	2	1	28	1095	0
0.191	1	1	20	2	2	28	1095	0
0.192	1	2	20	3	1	28	1095	0
0.192	1	1	20	3	2	28	1095	0
0.193	1	2	20	4	1	28	1095	0
0.193	1	1	20	4	2	28	1095	0
0.194	1	2	20	5	1	28	1095	0
0.194	1	1	20	5	2	28	1095	0
0.195	1	2	20	6	1	28	1095	0
0.195	1	1	20	6	2	28	1095	0
0.196	1	2	20	7	1	28	1095	0
0.196	1	1	20	7	2	28	1095	0
0.197	1	2	20	8	1	28	1095	0
0.197	1	1	20	8	2	28	1095	0
0.198	1	2	20	9	1	28	1095	0
0.198	1	1	20	9	2	28	1095	0
0.199	1	2	20	10	1	28	1095	0
0.199	1	1	20	10	2	28	1095	0
0.2	1	2	21	1	1	28	1095	0
0.2	1	1	21	1	2	28	1095	0
0.201	1	2	21	2	1	28	1095	0
0.201	1	1	21	2	2	28	1095	0
0.202	1	2	21	3	1	28	1095	0
0.202	1	1	21	3	2	28	1095	0
0.203	1	2	21	4	1	28	1095	0
0.203	1	1	21	4	2	28	1095	0
0.204	1	2	21	5	1	28	1095	0
0.204	1	1	21	5	2	28	1095	0
0.205	1	2	21	6	1	28	1095	0
0.205	1	1	21	6	2	28	1095	0
0.206	1	2	21	7	1	28	1095	0
0.206	1	1	21	7	2	28	1095	0
0.207	1	2	21	8	1	28	1095	0
0.207	1	1	21	8	2	28	1095	0
0.208	1	2	21	9	1	28	1095	0
0.208	1	1	21	9	2	28	1095	0
0.209	1	2	21	10	1	28	1095	0
0.209	1	1	21	10	2	28	1095	0
0.21	1	2	22	1	1	28	1095	0
0.21	1	1	22	1	2	28	1095	0
0.211	1	2	22	2	1	28	1095	0
0.211	1	1	22	2	2	28	1095	0
0.212	1	2	22	3	1	28	1095	0
0.212	1	1	22	3	2	28	1095	0
0.213	1	2	22	4	1	28	1095	0
0.213	1	1	22	4	2	28	1095	0
0.214	1	2	22	5	1	28	1095	0
0.214	1	1	22	5	2	28	1095	0
0.215	1	2	22	6	1	28	1095	0
0.215	1	1	22	6	2	28	1095	0
0.216	1	2	22	7	1	28	1095	0
0.216	1	1	22	7	2	28	1095	0
0.217	1	2	22	8	1	28	1095	0
0.217	1	1	22	8	2	28	1095	0
0.218	1	2	22	9	1	28	1095	0
0.218	1	1	22	9	2	28	1095	0
0.219	1	2	22	10	1	28	1095	0
0.219	1	1	22	10	2	28	1095	0
0.22	1	2	23	1	1	28	1095	0
0.22	1	1	23	1	2	28	1095	0
0.221	1	2	23	2	1	28	1095	0
0.221	1	1	23	2	2	28	1095	0
0.222	1	2	23	3	1	28	1095	0
0.222	1	1	23	3	2	28	1095	0
0.223	1	2	23	4	1	28	1095	0
0.223	1	1	23	4	2	28	1095	0
0.224	1	2	23	5	1	28	1095	0
0.224	1	1	23	5	2	28	1095	0
0.225	1	2	23	6	1	28	1095	0
0.225	1	1	23	6	2	28	1095	0
0.226	1	2	23	7	1	28	1095	0
0.226	1	1	23	7	2	28	1095	0
0.227	1	2	23	8	1	28	1095	0
0.227	1	1	23	8	2	28	1095	0
0.228	1	2	23	9	1	28	1095	0
0.228	1	1	23	9	2	28	1095	0
0.229	1	2	23	10	1	28	1095	0
0.229	1	1	23	10	2	28	1095	0
0.23	1	2	24	1	1	28	1095	0
0.23	1	1	24	1	2	28	1095	0
0.231	1	2	24	2	1	28	1095	0
0.231	1	1	24	2	2	28	1095	0
0.232	1	2	24	3	1	28	1095	0
0.232	1	1	24	3	2	28	1095	0
0.233	1	2	24	4	1	28	1095	0
0.233	1	1	24	4	2	28	1095	0
0.234	1	2	24	5	1	28	1095	0
0.234	1	1	24	5	2	28	1095	0
0.235	1	2	24	6	1	28	1095	0
0.235	1	1	24	6	2	28	1095	0
0.236	1	2	24	7	1	28	1095	0
0.236	1	1	24	7	2	28	1095	0
0.237	1	2	24	8	1	28	1095	0
0.237	1	1	24	8	2	28	1095	0
0.238	1	2	24	9	1	28	1095	0
0.238	1	1	24	9	2	28	1095	0
0.239	1	2	24	10	1	28	1095	0
0.239	1	1	24	10	2	28	1095	0
0.24	1	2	25	1	1	28	1095	0
0.24	1	1	25	1	2	28	1095	0
0.241	1	2	25	2	1	28	1095	0
0.241	1	1	25	2	2	28	1095	0
0.242	1	2	25	3	1	28	1095	0
0.242	1	1	25	3	2	28	1095	0
0.243	1	2	25	4	1	28	1095	0
0.243	1	1	25	4	2	28	1095	0
0.244	1	2	25	5	1	28	1095	0
0.244	1	1	25	5	2	28	1095	0
